day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
2;0;BANANAS;4821;27;;;;;4827;27;;;;;4824.0;0.0
2;0;DIVING_GEAR;99191;21;;;;;99194;21;;;;;99192.5;0.0
2;0;COCONUTS;7923;209;;;;;7924;57;7925;61;7926;148;7923.5;0.0
2;0;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;0;PINA_COLADAS;14850;72;;;;;14853;72;;;;;14851.5;0.0
2;0;BERRIES;3847;66;;;;;3854;14;3855;52;;;3850.5;0.0
2;100;BERRIES;3847;76;3846;48;;;3854;24;3855;100;;;3850.5;0.0
2;100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;100;PEARLS;9996;4;9995;53;;;9998;1;10004;4;10005;53;9997.0;0.0
2;100;BANANAS;4821;57;;;;;4827;57;;;;;4824.0;0.0
2;100;COCONUTS;7924;114;7923;209;;;7925;61;7926;148;7927;171;7924.5;0.0
2;100;DIVING_GEAR;99191;21;;;;;99194;3;99200;8;99201;10;99192.5;0.0
2;100;PINA_COLADAS;14853;20;14850;72;;;14856;92;;;;;14854.5;0.0
2;200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;200;PINA_COLADAS;14853;103;14850;72;;;14856;175;;;;;14854.5;0.0
2;200;BERRIES;3848;14;3847;131;3846;48;3854;38;3855;155;;;3851.0;0.0
2;200;PEARLS;9996;4;9995;73;;;9998;1;10004;4;10005;73;9997.0;0.0
2;200;BANANAS;4821;77;;;;;4827;57;4828;20;;;4824.0;0.0
2;200;COCONUTS;7924;306;7923;209;;;7925;61;7926;205;7927;306;7924.5;0.0
2;200;DIVING_GEAR;99194;18;99191;21;;;99197;21;99200;8;99201;10;99195.5;0.0
2;300;PEARLS;9996;5;9995;93;;;9998;1;10004;5;10005;93;9997.0;0.0
2;300;BANANAS;4822;21;4821;77;;;4827;57;4828;21;4829;20;4824.5;0.0
2;300;COCONUTS;7925;120;7924;306;7923;209;7926;205;7927;306;7928;181;7925.5;0.0
2;300;DIVING_GEAR;99194;18;99193;8;99192;19;99195;8;99196;19;99197;21;99194.5;0.0
2;300;PINA_COLADAS;14853;103;14850;72;;;14856;74;14861;101;;;14854.5;0.0
2;300;BERRIES;3848;33;3847;175;3846;48;3854;38;3855;174;3856;44;3851.0;0.0
